,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful_Raid_Per,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super_raids,Super_10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super_tackles,High 5s
181,Armaan,All Rounder,8-Jul-99,Telugu Titans,6 ft 2 in,India,71 kg,6,9,4,59.37,32,6,13,13,28.12,8,1,9,1,0,7,0,7,0,0,0,0,0
182,Farhad Rahimi,All Rounder,13-Nov-88,Telugu Titans,6 ft,Iran,-,18,52,5,84.5,71,20,11,40,35.21,22,3,25,0,0,66,27,39,1.5,0,40.9,0,0
183,Fazel Atrachali,"Defender, left corner",29-Mar-92,U Mumba,6 ft,Iran,85 kg,19,62,6,92.3,13,1,1,11,15.38,1,1,2,0,0,104,57,47,3,0,57.69,3,2
25,Vinod Kumar,Raider,2-Jan-89,Bengaluru Bulls,5 ft 7 in,India,80 kg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
42,Neeraj Narwal,Raider,23-Mar-00,Dabang Delhi K.C.,5 ft 11 in,India,70 kg,2,0,0,25,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Sumit Kumar,Raider,1-Jan-70,Dabang Delhi K.C.,-,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Amirhossein Mohammad,Raider,25-Apr-93,Haryana Steelers,6 ft 3 in,Iran,85 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Guman Singh,Raider,5-Jun-99,Jaipur Pink Panthers,5 ft 11 in,India,78.7 kg,2,0,0,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Lokesh Kaushik,Raider,30-Jan-99,Jaipur Pink Panthers,5 ft 11 in,India,84 kg,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Milinda Chathuranga,Raider,23-Apr-91,Jaipur Pink Panthers,6 ft,Sri Lanka,79 kg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Mohit,Raider,26-Jan-00,Patna Pirates,6 ft,India,74.7 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Rajaguru Subramanian,"Defender, right cover",22-Jun-86,U Mumba,5 ft 10 in,India,83.7 kg,5,2,2,100,2,0,0,2,0,0,0,0,0,0,6,2,4,0.4,0,33.33,0,0
193,Harsh Vardhan,"Defender, right corner",5-Aug-97,U Mumba,5 ft 6 in,India,80 kg,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0
194,Anil,"Defender, left cover",28-Feb-97,U Mumba,5 ft 9 in,India,72 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Harendra Kumar,"Defender, left cover",26-Dec-99,U Mumba,-,India,-,17,19,5,0,0,0,0,0,0,0,0,0,0,0,57,18,39,1.05,0,33.33,1,1
196,Young Chang,"Defender, left cover",30-Sep-93,U Mumba,5 ft 5 in,Korea,73 kg,10,6,4,0,0,0,0,0,0,0,0,0,0,0,13,4,9,0.4,0,46.15,2,0
197,Surinder Singh,Defender,23-Jul-98,U Mumba,5 ft 9 in,India,78 kg,19,49,9,71.42,7,1,2,4,57.14,4,0,4,1,0,103,43,60,2.26,0,43.68,2,2
198,Ajinkya Rohidas,All Rounder,10-Sep-94,U Mumba,5 ft 8 in,India,-,2,1,1,60,5,1,2,2,20,0,1,1,0,0,1,0,1,0,0,0,0,0
199,Mohit Balyan,All Rounder,17-Dec-99,U Mumba,5 ft 9 in,India,73 kg,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,200,1,0
200,Sandeep Narwal,All Rounder,5-Apr-93,U Mumba,5 ft 11 in,India,80.2 kg,19,60,6,83.33,60,14,10,36,30,13,5,18,0,0,75,37,38,1.94,0,56,5,1
201,Nitesh Kumar,"Defender, right corner",12-Aug-97,U.P. Yoddha,5 ft 8 in,India,74 kg,18,51,7,0,2,0,2,0,50,0,1,1,0,0,85,44,41,2.44,0,58.82,6,3
116,Naveen,Raider,1-Jan-70,Patna Pirates,5 ft 7 in,India,-,1,0,0,33.33,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Rajveersinh Pratap,Raider,1-Jan-70,Patna Pirates,-,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,R. Sriram,Raider,17-Sep-98,Puneri Paltan,5 ft 11 in,India,-,1,0,0,66.66,6,0,2,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0
169,Mula Siva,Raider,5-Mar-99,Telugu Titans,5 ft 11 in,India,82 kg,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Gaurav Kumar,Raider,1-May-97,U Mumba,6 ft 1 in,India,85 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Navneet,Raider,1-Jan-70,U Mumba,-,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Vinoth Kumar,Raider,23-Mar-94,U Mumba,5 ft 9 in,India,71.7 kg,1,0,0,50,4,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
204,Gulveer Singh,Raider,25-Jul-98,U.P. Yoddha,5 ft 9 in,India,80 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Md. Masud,Raider,5-Apr-88,U.P. Yoddha,5 ft 11 in,Bangladesh,79 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Ashu Singh,"Defender, right cover",7-Oct-98,U.P. Yoddha,-,India,-,18,32,4,100,1,0,0,1,0,0,0,0,0,0,79,30,49,1.66,0,40.5,2,0
212,Aashish Nagar,"Defender, right corner",1-Jan-70,U.P. Yoddha,-,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Amit,"Defender, left cover",27-Jul-96,U.P. Yoddha,5 ft 7 in,India,-,18,25,4,100,14,1,0,13,14.28,2,0,2,0,0,64,21,43,1.16,0,35.93,2,0
214,Sumit,"Defender, left corner",24-Mar-99,U.P. Yoddha,6 ft,India,72 kg,18,63,6,85.71,7,1,1,5,28.57,1,1,2,0,0,111,60,51,3.33,0,54.95,1,5
215,Arkam Shaikh,All Rounder,3-Nov-98,U.P. Yoddha,5 ft 10 in,India,79 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Gurdeep,All Rounder,26-Jul-99,U.P. Yoddha,5 ft 11 in,India,-,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,66.66,0,0
217,Mohsen Maghsoudloujafari,All Rounder,17-Mar-95,U.P. Yoddha,5 ft 10 in,Iran,78 kg,11,8,2,65.51,29,4,10,15,17.24,2,3,5,0,0,8,2,6,0.18,0,37.5,1,0
218,Narender,All Rounder,10-Sep-86,U.P. Yoddha,5 ft 8 in,India,78 kg,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0
219,Sachin Kumar,All Rounder,1-Aug-92,U.P. Yoddha,5 ft 7 in,India,-,12,4,2,92.85,14,0,1,13,0,0,0,0,0,0,11,3,8,0.25,0,36.36,1,0
